RE_Identity	Normalized	FOLD	condensed
SpB7	0.433989788475565	-1.89303869982383	Sp7
SBBp	1.01041381200329	-0.673825436730575	Sp
hBBp	0.789561091340451	-1.02964889992826	hp
BS7h	0.411622276029056	-1.96937873752165	S7h
SBph	0.461901550910317	-1.80311440684665	Sph
p77h	0.509090909090909	-1.66277649370697	p77h
BBBp	1.33788395904437	-0.268818712546951	p
7pBS	2.06962025316456	0.360594375081068	7pS
SSS7	1.34722222222222	-0.258783861495096	SSS7
SSSh	0.674242424242424	-1.25743239063197	SSSh
pBS7	0.76536312849162	-1.07455539654364	pS7
p7Sh	0.206208425720621	-2.96659651438726	p7Sh
S7Bh	2.99459459459459	0.893589003292965	S7h
SBpp	1.01997896950578	-0.660232296025984	Spp
7SpS	0.728682170542636	-1.14541010598553	7SpS
BSSB	0.839729119638826	-0.940775779686898	SS
h77B	0.62004662004662	-1.37832310423827	h77
SB7p	0.953703703703704	-0.757158677220161	S7p
7SpS	0.178451178451178	-3.17517036847748	7SpS
ShSh	0.5	-1.68877170223991	ShSh
S77p	0.310262529832936	-2.37721032291081	S77p
ph7B	0.675736961451247	-1.25423802733527	ph7
77Bh	0.211538461538462	-2.92977980174371	77h
7SSp	0.605299860529986	-1.41304977849734	7SSp
BhSB	0.602203182374541	-1.42044946504635	hS
pphB	1.4969696969697	-0.106726684901049	pph
pBBh	1.10671936758893	-0.542482259989255	ph
BpBh	0.403619909502262	-1.9977024565984	ph
S7BS	0.797546012269939	-1.01513204344253	S7S
hppS	0.240631163708087	-2.74387630168037	hppS
pSSB	0.243070362473348	-2.72932580059055	pSS
Bh7B	0.320754716981132	-2.32922931555277	h7
pB7S	0.224793388429752	-2.84210019315153	p7S
pphp	0.930533117932149	-0.792642300011863	pphp
7SBB	0.323699421965318	-2.31604500781903	7S
hBhh	0.589181940098346	-1.45198658829098	hhh
Bhp7	0.337509211495947	-2.25577291956182	hp7
B7hp	0.350710900473934	-2.20041752531815	7hp
pBhB	6.19635343618513	1.94264773467148	ph
h7h7	1.56105610561056	-0.046249312373467	h7h7
p7Sh	0.398822044594026	-2.01495464128409	p7Sh
S7SS	0.584856396866841	-1.46261736210726	S7SS
SBBB	2.71910112359551	0.754358104068286	S
B7ph	0.415325670498084	-1.95645675234329	7ph
7pSB	0.523662096417514	-1.62206361336249	7pS
phBS	0.739967014843321	-1.12323883528108	phS
7pcx4	0.110483364720653	-3.86687063512792	7pcx4
hhB7	1.28177966101695	-0.330623419439795	hh7
pShp	0.852678571428571	-0.918697796261767	pShp
C14orf28	0.430555555555556	-1.90450039329535	C14orf28
hhSp	0.945205479452055	-0.770071804341759	hhSp
B77B	0.761229314420804	-1.08236867724524	77
hBph	0.520743919885551	-1.63012570741665	hph
hhhB	6.81989708404803	2.08097826612188	hhh
BShB	5.57620817843866	1.79051272058671	Sh
7BSp	0.614754098360656	-1.39069034930692	7Sp
7hS7	0.661016949152542	-1.2860125327395	7hS7
hBB7	0.811463046757164	-0.990174399795875	h7
pB7h	0.645320197044335	-1.32068461788764	p7h
Control	1.78743961352657	0.149122800777076	Control
SBhB	1.13182423435419	-0.510121768729119	Sh
7BBh	0.974082073434125	-0.726656462244767	7h
Sh7p	0.401709401709402	-2.00454757014568	Sh7p
BBp7	0.432307692307692	-1.8986412899348	p7
ppBS	1.2421340629275	-0.375950810901433	ppS
BShS	1.05619707467283	-0.60989265151498	ShS
BSBS	1.10636023516836	-0.542950493094007	SS
hpBS	0.645833333333333	-1.31953789257419	hpS
pS77	0.419400855920114	-1.94236999141417	pS77
B77S	0.345945945945946	-2.22015316275622	77S
