RE_Identity	Normalized	FOLD	condensed
pppS	1.35570469798658	0.0419373969083832	pppS
SBpS	1.09145527369826	-0.270852553454556	SpS
Control	1.75620567375887	0.415356247109443	Control
p7SB	0.385906040268456	-1.77078403489904	p7S
B7B7	0.490936555891239	-1.42349706427265	77
pSBS	1.36691542288557	0.0538184143890526	pSS
hBS7	0.927007299270073	-0.506452961569611	hS7
Bhpp	1.30817941952507	-0.00954514235298186	hpp
77BS	0.439499304589708	-1.58317277764344	77S
BpBp	1.31910569105691	0.0024545972786486	pp
S77B	0.701183431952663	-0.909241752765175	S77
Sh7h	0.489443378119002	-1.4278916908009	Sh7h
BhSS	1.00551977920883	-0.389164104736654	hSS
hSBp	1.53804347826087	0.223990721393619	hSp
hhh7	0.999632892804699	-0.397635286349525	hhh7
SBh7	0.456167571761055	-1.52946976890654	Sh7
7SB7	0.765298776097912	-0.783010567831538	7S7
hShB	1.54164511122607	0.227365127757038	hSh
Sp7p	1.11058823529412	-0.245781547044473	Sp7p
7SBp	0.61113755354593	-1.10753652493199	7Sp
BSpp	1.23967889908257	-0.0871390824235261	Spp
ShpS	1.57450331125828	0.257791226154235	ShpS
pBS7	0.718944099378882	-0.873154060235631	pS7
hB7p	0.788571428571429	-0.73979222043541	h7p
SpSS	1.27853492333901	-0.0426139968706138	SpSS
FIGNL2	0.52	-1.34052203701488	FIGNL2
Sppp	1.17961511047755	-0.158789357306569	Sppp
6merx4	0.909348441926346	-0.534200451530127	6merx4
7hpp	1.78346456692913	0.437576987892819	7hpp
ppSS	2.26415094339623	0.781864575664069	ppSS
B77S	2.5	0.924822529506112	77S
7Bpp	0.82620320855615	-0.672536997364512	7pp
7SSB	0.98936170212766	-0.412535605950856	7SS
hSpS	2.0952380952381	0.670008630477287	hSpS
7h7B	1.01996927803379	-0.368579867199961	7h7
ppSS	1.49826026443981	0.186182692328647	ppSS
pphh	0.599423631123919	-1.13545769981842	pphh
pSBp	0.897530864197531	-0.553072109233643	pSp
h7BS	0.581395348837209	-1.17951413030862	h7S
ShpB	1.45248868778281	0.141421362349621	Shp
hBSS	1.09273182957393	-0.26916617682667	hSS
pS77	0.554240631163708	-1.24852118216366	pS77
hhSS	1.22241379310345	-0.107372838156668	hhSS
7ppp	0.368421052631579	-1.83767815676723	7ppp
hp7S	0.373983739837398	-1.81605811466348	hp7S
SBBp	1.23537489700632	-0.0921566450479482	Sp
Control	1.13352272727273	-0.216292247796201	Control
pShB	1.38777575389597	0.0756689010371037	pSh
BS77	0.542857142857143	-1.27846106888263	S77
hS7B	1.19083969465649	-0.145126348056452	hS7
pSpp	0.668994413407821	-0.977039496909326	pSpp
BhhB	1.45781087960781	0.146698006993466	hh
B77S	1.24590163934426	-0.0799153895005508	77S
h7SS	0.968553459119497	-0.443201979970704	h7SS
SBp7	0.592672413793103	-1.1517987520968	Sp7
BppS	1.72846715328467	0.392387622399811	ppS
S77h	0.620588235294118	-1.08539731281177	S77h
hSB7	1.85687382297552	0.495770220192508	hS7
7Shp	1.21527777777778	-0.115819454991234	7Shp
SBhS	0.54940119760479	-1.26117360501209	ShS
hph7	0.7339593114241	-0.843333573812868	hph7
pSp7	0.616949152542373	-1.09388206943176	pSp7
SShp	0.204081632653061	-2.6898873146091	SShp
Sh7S	0.362173038229376	-1.86235451061386	Sh7S
pShB	1.13819036427732	-0.210363694352951	pSh
B7pp	1.07053941908714	-0.298767646187958	7pp
phhB	1.51986644407346	0.206838989249184	phh
SpSp	0.847967479674797	-0.635024723088087	SpSp
pp7h	0.39409984871407	-1.74047246461043	pp7h
BBhp	1.46716316858497	0.155923761947634	hp
phSB	0.428927680798005	-1.61829923713407	phS
7ppB	0.741767764298094	-0.828066087625586	7pp
pphh	0.320564516129032	-2.03841892048377	pphh
pppp	0.699576868829337	-0.912551072233891	pppp
Control	1.58388520971302	0.266362216135565	Control
pphB	1.20699300699301	-0.125688247868047	pph
7h7S	0.856807511737089	-0.620062531839708	7h7S
Sp7p	2.14814814814815	0.705987927582854	Sp7p
BpBp	0.803365810451727	-0.712976595625729	pp
Bpph	1.01371951219512	-0.377447039610782	pph
BhpB	1.22057677318784	-0.109542523179892	hp
hShh	1.00526315789474	-0.389532345676449	hShh
ppSp	0.76878612716763	-0.776451357516785	ppSp
7ph7	1.83516483516484	0.478804086894106	7ph7
hhB7	1.45490196078431	0.143816374380695	hh7
pSSp	1.15301724137931	-0.191691479220313	pSSp
7pp7	0.380090497737557	-1.79269070199392	7pp7
B7hS	1.81654676258993	0.4640929395344	7hS
S7hS	0.803212851405622	-0.713251307674606	S7hS
pSBB	1.18043844856661	-0.157782748094925	pS
pShS	1.17977528089888	-0.158593478681525	pShS
hBBp	0.435098650051921	-1.59769111952536	hp
7Shh	0.671232876712329	-0.972220280146059	7Shh
h7p7	1.21285140562249	-0.118702758124252	h7p7
7SBp	1.70469798657718	0.372410600928754	7Sp
7ppS	1.88148148148148	0.514763524340085	7ppS
SpSh	0.862275449101796	-0.61088485641299	SpSh
hBBB	0.777215189873418	-0.760719563075536	h
hh7B	0.781456953642384	-0.752867255344488	hh7
pBBh	0.501416430594901	-1.39302438856943	ph
7phB	0.8	-0.719033660268612	7ph
pSSh	0.458041958041958	-1.52355390062219	pSSh
pBSp	1.10108864696734	-0.2581749426262	pSp
7Bp7	1.95402298850575	0.569341874907723	7p7
Bp7p	0.526923076923077	-1.32144129544918	p7p
Shhh	0.61849710982659	-1.09026680661683	Shhh
SBS7	1.47123287671233	0.159920058836783	SS7
Bph7	0.724313326551373	-0.862419740755433	ph7
77hp	1.09148264984227	-0.270816367883932	77hp
Sh7h	0.676724137931034	-0.960465811617195	Sh7h
hh77	1.32365145228216	0.00741771215365775	hh77
Bhh7	0.791666666666667	-0.734140552658821	hh7
phhB	1.41983292912961	0.108615613294701	phh
ShBB	1.58023648648649	0.263034912230584	Sh
BhBh	0.804635761589404	-0.710697801100548	hh
S7Sh	0.683257918552036	-0.946603385447603	S7Sh
hphh	1.63103448275862	0.308681717943211	hphh
7ppp	0.957894736842105	-0.459166533513502	7ppp
pBhh	2.05343511450382	0.640933795637924	phh
pBB7	0.967261904761905	-0.445127080244193	p7
BSBB	2.22758620689655	0.75837569929774	S
hBB7	1.13223140495868	-0.217936719695318	h7
Shh7	1.19031141868512	-0.145766493179831	Shh7
BSSS	0.243055555555556	-2.4377475498786	SSS
hhBp	1.91017964071856	0.536602755909567	hhp
hS77	0.532110091743119	-1.3073088950306	hS77
BBB7	0.686507936507937	-0.939757261244442	7
pSBp	0.682222222222222	-0.948791911228108	pSp
hBh7	0.791666666666667	-0.734140552658821	hh7
ShSp	1.06451612903226	-0.306907756409672	ShSp
BBhp	1.3047619047619	-0.0133190000868459	hp
hB7h	1.14634146341463	-0.200068718321697	h7h
pphh	0.5	-1.39710556538125	pphh
